country,mig_ext_medio_group/1,mig_ext_medio_group/2,mig_ext_medio_group/3,mig_ext_cost_total,mig_ext_cost_currency
SLV,0,1,0,5000,1
SLV,0,1,0,,
SLV,0,1,0,,
SLV,1,0,0,,
SLV,0,0,1,,
SLV,0,0,0,,
SLV,0,0,0,,
SLV,1,0,0,,
SLV,0,1,0,3000,1
SLV,0,1,0,3000,1
SLV,0,1,0,8000,1
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,8000,1
SLV,0,0,1,,
SLV,0,0,0,,
SLV,1,0,0,3500,1
SLV,0,1,0,,
SLV,1,0,0,,
SLV,0,1,0,18000,1
SLV,0,1,0,6000,1
SLV,0,1,0,6000,1
SLV,0,1,0,9000,1
HND,0,1,0,5125,2
HND,0,1,0,5125,2
SLV,0,1,0,,
SLV,0,0,1,100,1
SLV,0,1,0,4000,1
SLV,1,0,0,,
SLV,0,0,0,,
SLV,0,0,0,,
SLV,0,1,0,3000,1
SLV,0,1,0,12000,1
SLV,0,1,0,3500,1
SLV,0,1,0,3500,1
HND,0,0,0,,
HND,0,0,0,,
SLV,0,1,0,,
SLV,0,0,1,,
SLV,0,1,0,,
SLV,1,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,1,0,0,,
SLV,1,0,0,1400,1
GT,0,1,0,14950,3
SLV,0,1,0,3000,1
SLV,0,1,0,,
SLV,1,0,0,1000,1
HND,0,0,1,,
HND,0,0,1,369,2
HND,0,0,0,,
HND,0,1,0,13000,1
HND,0,1,0,10000,1
HND,0,1,0,8000,1
HND,0,0,1,410,2
GT,0,1,0,6500,3
GT,0,1,1,9750,3
GT,1,0,0,26,3
GT,0,1,0,,
GT,1,0,0,468,3
GT,0,1,0,2990,3
GT,0,1,0,2860,3
GT,1,0,0,1300,3
GT,0,1,0,6500,3
GT,0,1,0,,
GT,0,1,0,2340,3
GT,0,1,0,2600,3
GT,0,0,1,3640,3
GT,0,1,0,,
HND,0,0,1,205,2
HND,0,1,0,5000,1
GT,0,1,0,10400,3
GT,0,1,0,10400,3
GT,0,1,0,11700,3
GT,0,1,0,11700,3
GT,0,1,0,6500,3
GT,0,1,0,6500,3
GT,0,1,0,,
GT,0,1,0,12350,3
GT,0,0,1,1950,3
GT,0,1,0,,
GT,0,1,0,4550,3
GT,0,1,0,,
GT,0,1,0,1300,3
GT,0,1,0,3900,3
GT,0,0,1,1300,3
GT,0,0,1,3900,3
GT,1,0,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,0,1,,
GT,0,0,1,,
GT,0,1,0,2340,3
GT,0,1,0,2600,3
GT,0,0,1,1300,3
GT,0,1,0,7800,3
GT,0,1,0,7800,3
GT,0,1,0,5200,3
HND,0,0,0,,
HND,0,0,1,,
HND,0,0,1,,
SLV,1,0,0,500,1
GT,0,1,0,5850,3
GT,0,1,0,5980,3
GT,0,1,0,5850,3
GT,0,1,0,5850,3
SLV,1,1,0,14000,1
SLV,1,1,0,13000,1
SLV,1,1,0,5000,1
SLV,0,0,1,1500,1
SLV,0,1,0,7500,1
SLV,0,1,0,7500,1
SLV,0,1,0,3000,1
SLV,0,1,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,1,0,11000,1
HND,0,1,0,,
SLV,0,1,0,,
SLV,0,0,1,1700,1
SLV,0,0,1,1000,1
SLV,0,1,0,12000,1
SLV,0,0,1,2500,1
SLV,0,0,1,2500,1
SLV,0,1,0,25000,1
SLV,0,1,0,25000,1
SLV,0,1,0,25000,1
SLV,0,1,0,,
SLV,0,1,0,9500,1
